term,length,letterCount,numberCount,spaceCount,startsWithNumber,endsWithNumber,isPartNumber
ladc300113,10,4,6,0,0,1,1
2166563,7,0,7,0,1,1,1
gt2516dp2.2v,12,5,6,0,0,0,1
ipb017n08n5atma1,16,9,7,0,0,1,1
ipb019n08n3gatma1,17,10,7,0,0,1,1
lan8742acztr,12,8,4,0,0,0,1
mmbd4148,8,4,4,0,0,1,1
5uf 900vdc,10,5,4,1,1,0,0
7101,4,0,4,0,1,1,1
12v,3,1,2,0,1,0,0
1532z,5,1,4,0,1,0,1
1537z,5,1,4,0,1,0,1
1548z,5,1,4,0,1,0,1
171662,6,0,6,0,1,1,1
3.3 ldo,7,3,2,1,1,0,0
3225mv250bntr,13,6,7,0,1,0,1
5.2 voltage regulator,21,16,2,2,1,0,0
55 to 155c,10,3,5,2,1,0,0
8 576114,8,0,7,1,1,1,1
c0805c471j5gac,14,6,8,0,0,0,1
c1210c106k5ractu,16,8,8,0,0,0,1
c281tgkt,8,5,3,0,0,0,1
dfr0198,7,3,4,0,0,1,1
kv260,5,2,3,0,0,1,1
mti630,6,3,3,0,0,1,1
ncp1081deg,10,6,4,0,0,0,1
sr73z,5,3,2,0,0,0,1
stgw20v60df,11,7,4,0,0,0,1
ur204airtddiag,14,11,3,0,0,0,1
x50,3,1,2,0,0,1,1
nms3106b1821p,13,5,8,0,0,0,1
ad7193bruz,10,6,4,0,0,0,1
c3225c0g2e103j160aa,19,7,12,0,0,0,1
lt1315,6,2,4,0,0,1,1
msp430fr5992izvwr,17,10,7,0,0,0,1
stranded teflon awg,19,17,0,2,0,0,0
3062011,7,0,7,0,1,1,1
6.1E+11,12,0,12,0,1,1,1
654ms3122e123p,14,4,10,0,1,0,1
7p25.000mbpt,12,5,6,0,1,0,1
8540000000000000,16,0,16,0,1,1,1
a769ms107m1jlas018,18,8,10,0,0,1,1
at063s,6,3,3,0,0,0,1
stm32f072rbt7tr,15,9,6,0,0,0,1
595sn74ls244n,13,5,8,0,1,0,1
602297100,9,0,9,0,1,1,1
crcw0805130kfkea,16,9,7,0,0,0,1
htst10501ldva,13,8,5,0,0,0,1
le80539ue0092ms l9jq,20,9,10,1,0,0,1
le80539ue0092mxs l9jq,21,10,10,1,0,0,1
ll4148,6,2,4,0,0,1,1
rc0402fr07100kl,15,6,9,0,0,0,1
stm8s003f3p6tr,14,8,6,0,0,0,1
xf2m50151a,10,4,6,0,0,0,1
407,3,0,3,0,1,1,1
pic1615324,10,3,7,0,0,1,1
. 01 safety capacitor,21,15,2,3,1,0,0
. 1013761641 ml621,18,2,13,2,1,1,1
..01 safety capacitor,21,15,2,2,1,0,0
.0001 uf polystyrene,20,13,4,2,1,0,0
0.001,5,0,4,0,1,1,0
.001 capacitor,14,9,3,1,1,0,0
.001 uf,7,2,3,1,1,0,0
.0018 uf film capacitor,23,15,4,3,1,0,0
.001pf,6,2,3,0,1,0,0
.001uf,6,2,3,0,1,0,0
.001uf capacitor,16,11,3,1,1,0,0
.0022 100v,10,1,7,1,1,0,0
.0022uf cap,11,5,4,1,1,0,0
.003 uf,7,2,3,1,1,0,0
.0033 uf 1600v,14,3,8,2,1,0,0
.0033uf,7,2,4,0,1,0,0
.0047 capacitors,16,10,4,1,1,0,0
.0047 uf,8,2,4,1,1,0,0
.0047uf,7,2,4,0,1,0,0
.0047uf 630v,12,3,7,1,1,0,0
.005 ceramic cap,16,10,3,2,1,0,0
.005 uf,7,2,3,1,1,0,0
.005uf,6,2,3,0,1,0,0
.0082uf mlcc c0g,16,8,5,2,1,0,0
.01 capacitor,13,9,2,1,1,0,0
.01 ceramic disc,16,11,2,2,1,0,0
.01 metalized poly cap,22,16,2,3,1,0,0
.01 safety capacitor,20,15,2,2,1,0,0
.01 uf,6,2,2,1,1,0,0
.012uf mlcc c0g,15,8,4,2,1,0,0
.015 ohm,8,3,3,1,1,0,0
.015 uf 5,9,2,4,2,1,1,0
.01uf,5,2,2,0,1,0,0
.01uf 0201,10,2,6,1,1,1,0
.01uf 0603,10,2,6,1,1,1,0
